epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.731,3.47677,8.35132,1.9584,0.00119,0.31313,0.00348,0.0008,3.02528,9.19345,1.52306,0.000469718,0.000469718,0.000469718
2,900.107,2.89334,6.9247,1.68084,0.35109,0.0404,0.03992,0.00802,2.6579,6.3893,1.74279,0.000927319,0.000927319,0.000927319
3,1339.88,2.6727,5.96813,1.61658,0.36664,0.11111,0.04059,0.01144,2.72107,7.33026,1.84046,0.00136606,0.00136606,0.00136606
4,1733.63,2.60406,5.14978,1.6518,0.12338,0.29966,0.11377,0.0471,2.22512,5.18879,1.459,0.00134412,0.00134412,0.00134412
5,2188.23,2.50648,4.89804,1.55839,0.41256,0.26768,0.08998,0.0307,2.34062,5.13734,1.61076,0.00131582,0.00131582,0.00131582
6,2588.75,2.41095,4.65052,1.53895,0.12823,0.29632,0.10042,0.03617,2.14103,4.11346,1.43705,0.00128753,0.00128753,0.00128753
7,2957.88,2.33744,4.07953,1.49721,0.08456,0.31313,0.10495,0.03581,2.18095,4.01697,1.45116,0.00125923,0.00125923,0.00125923
8,3339.11,2.28579,3.71746,1.48146,0.16206,0.22559,0.11774,0.04527,2.0909,3.82141,1.44388,0.00123094,0.00123094,0.00123094
