threshold,samples,coverage,accuracy,f1,auc
0.0,306,100.0,0.9673202614379085,0.9680460020029518,0.9970604891102148
0.5,298,97.38562091503267,0.9731543624161074,0.973575961054222,0.99767255558196
0.6,277,90.52287581699346,0.9855595667870036,0.9856810392681356,0.9987238612925098
0.7,238,77.77777777777779,1.0,1.0,1.0
0.8,206,67.3202614379085,1.0,1.0,1.0
0.9,133,43.4640522875817,1.0,1.0,1.0
0.95,44,14.37908496732026,1.0,1.0,1.0
