Method,Accuracy,F1-Score,AUC,Composite
Ensemble (Top 3),0.9673202614379085,0.9680460020029518,0.9970783641280899,0.9737715063000174
Original (swin_small),0.8986928104575164,0.8980574155533233,0.9873932230608885,0.9163549486136577
TTA (Test-Time Aug),0.8006535947712419,0.7997055627915998,0.920036883731774,0.8263966122937711
K-Fold (5) + Focal Loss,0.4934955050237969,0.47533093667753645,0.6573846364873437,0.5420703593962256
